tag,description,qty,unit,building,sheet_id,table_title,Service,GPM,Cv,Notes,Configuration,Served equipment,Size,Unit Mark,bbox_px
CV-VAV-A104-HHW,Serves VAV-A104,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,0.7,0.3,1,2 WAY,VAV-A104,1/2,VAV-A104,"2562.96,1370.4,2770.56,1404.72"
CV-VAV-A105-HHW,Serves VAV-A105,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2 WAY,VAV-A105,1/2,VAV-A105,"2562.96,1404.72,2770.56,1439.28"
CV-VAV-A106A-HHW,Serves VAV-A106A,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,2.4,1.1,1,2 WAY,VAV-A106A,1/2,VAV-A106A,"2562.96,1439.28,2770.56,1473.84"
CV-VAV-A106B-HHW,Serves VAV-A106B,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.5,0.7,1,2 WAY,VAV-A106B,1/2,VAV-A106B,"2562.96,1473.84,2770.56,1508.16"
CV-VAV-A107-HHW,Serves VAV-A107,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,2.8,1.3,1,2 WAY,VAV-A107,1/2,VAV-A107,"2562.96,1508.16,2770.56,1542.72"
CV-VAV-A108A-HHW,Serves VAV-A108A,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.7,0.8,1,2 WAY,VAV-A108A,1/2,VAV-A108A,"2562.96,1542.72,2770.56,1577.28"
CV-VAV-A108B-HHW,Serves VAV-A108B,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.4,0.6,1,2 WAY,VAV-A108B,1/2,VAV-A108B,"2562.96,1577.28,2770.56,1611.84"
CV-VAV-A109-HHW,Serves VAV-A109,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.1,0.5,1,2 WAY,VAV-A109,1/2,VAV-A109,"2562.96,1611.84,2770.56,1646.16"
CV-VAV-A110-HHW,Serves VAV-A110,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,0.7,0.3,1,2 WAY,VAV-A110,1/2,VAV-A110,"2562.96,1646.16,2770.56,1680.72"
CV-VAV-A111-HHW,Serves VAV-A111,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.0,0.4,1,2 WAY,VAV-A111,1/2,VAV-A111,"2562.96,1680.72,2770.56,1715.28"
CV-VAV-A112-HHW,Serves VAV-A112,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.7,0.8,1,2 WAY,VAV-A112,1/2,VAV-A112,"2562.96,1715.28,2770.56,1749.6"
CV-VAV-A113-HHW,Serves VAV-A113,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.1,0.5,1,2 WAY,VAV-A113,1/2,VAV-A113,"2562.96,1749.6,2770.56,1784.16"
CV-VAV-A114-HHW,Serves VAV-A114,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,0.6,0.3,1,2 WAY,VAV-A114,1/2,VAV-A114,"2562.96,1784.16,2770.56,1818.72"
CV-VAV-A115-HHW,Serves VAV-A115,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,2.5,1.1,1,2 WAY,VAV-A115,1/2,VAV-A115,"2562.96,1818.72,2770.56,1853.04"
CV-VAV-A116-HHW,Serves VAV-A116,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.1,0.5,1,2 WAY,VAV-A116,1/2,VAV-A116,"2562.96,1853.04,2770.56,1887.6"
CV-VAV-A117-HHW,Serves VAV-A117,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,0.7,0.3,1,2 WAY,VAV-A117,1/2,VAV-A117,"2562.96,1887.6,2770.56,1922.16"
CV-VAV-A118-HHW,Serves VAV-A118,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,3.0,1.3,1,2 WAY,VAV-A118,1/2,VAV-A118,"2562.96,1922.16,2770.56,1956.72"
CV-VAV-A201-HHW,Serves VAV-A201,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.2,0.5,1,2 WAY,VAV-A201,1/2,VAV-A201,"2562.96,1956.72,2770.56,1991.04"
CV-VAV-A202-HHW,Serves VAV-A202,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.0,0.4,1,2 WAY,VAV-A202,1/2,VAV-A202,"2562.96,1991.04,2770.56,2025.6"
CV-VAV-A203A-HHW,Serves VAV-A203A,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.5,0.7,1,2 WAY,VAV-A203A,1/2,VAV-A203A,"2562.96,2025.6,2770.56,2060.16"
CV-VAV-A203B-HHW,Serves VAV-A203B,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,2.6,1.2,1,2 WAY,VAV-A203B,1/2,VAV-A203B,"2562.96,2060.16,2770.56,2094.48"
CV-VAV-A204-HHW,Serves VAV-A204,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.2,0.5,1,2 WAY,VAV-A204,1/2,VAV-A204,"2562.96,2094.48,2770.56,2129.04"
CV-VAV-A205-HHW,Serves VAV-A205,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,0.8,0.4,1,2 WAY,VAV-A205,1/2,VAV-A205,"2562.96,2129.04,2770.56,2163.6"
CV-VAV-A206-HHW,Serves VAV-A206,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,0.7,0.3,1,2 WAY,VAV-A206,1/2,VAV-A206,"2562.96,2163.6,2770.56,2197.92"
CV-CUH-M1-HHW,Serves CUH-M1,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2-WAY,CUH-M1,1/2,CUH-M1,"566.4,410.6399999999999,776.88,445.1999999999998"
CV-DOAH-M1-HHW,Serves DOAH-M1,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,11.3,5.0,1,2-WAY,DOAH-M1,1/2,DOAH-M1,"566.4,548.6399999999999,776.88,583.1999999999998"
CV-FCU-M3-HHW,Serves FCU-M3,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,0.6,0.3,1,2-WAY,FCU-M3,1/2,FCU-M3,"566.4,583.1999999999998,776.88,617.7600000000002"
CV-FCU-M5-HHW,Serves FCU-M5,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,1.1,0.5,1,2-WAY,FCU-M5,1/2,FCU-M5,"566.4,617.7600000000002,776.88,652.0799999999999"
CV-FCU-M6-HHW,Serves FCU-M6,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,1.0,0.4,1,2-WAY,FCU-M6,1/2,FCU-M6,"566.4,652.0799999999999,776.88,686.6399999999999"
CV-FCU-M7-HHW,Serves FCU-M7,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,2.8,1.3,1,2-WAY,FCU-M7,1/2,FCU-M7,"566.4,686.6399999999999,776.88,721.1999999999998"
CV-HHW-BP-M,Serves CV-HHW-BP-M,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,12.7,5.7,1,2-WAY,CV-HHW-BP-M,3/4,CV-HHW-BP-M,"566.4,514.3200000000002,776.88,548.6399999999999"
CV-UH-M1-HHW,Serves UH-M1,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2-WAY,UH-M1,1/2,UH-M1,"566.4,721.1999999999998,776.88,755.52"
CV-VAV-M101-HHW,Serves VAV-M101,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,1.0,0.4,1,2-WAY,VAV-M101,1/2,VAV-M101,"566.4,755.52,776.88,790.0799999999999"
CV-VAV-M102-HHW,Serves VAV-M102,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,0.6,0.3,1,2-WAY,VAV-M102,1/2,VAV-M102,"566.4,790.0799999999999,776.88,824.6399999999999"
CV-VAV-M103-HHW,Serves VAV-M103,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,1.5,0.7,1,2-WAY,VAV-M103,1/2,VAV-M103,"566.4,824.6399999999999,776.88,859.1999999999998"
CV-VAV-M104-HHW,Serves VAV-M104,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,2.3,1.0,1,2-WAY,VAV-M104,1/2,VAV-M104,"566.4,859.1999999999998,776.88,893.52"
CV-VAV-M105-HHW,Serves VAV-M105,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,1.0,0.4,1,2-WAY,VAV-M105,1/2,VAV-M105,"566.4,893.52,776.88,928.0799999999999"
CV-VAV-M106-HHW,Serves VAV-M106,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,0.9,0.4,1,2-WAY,VAV-M106,1/2,VAV-M106,"566.4,928.0799999999999,776.88,962.6399999999999"
CV-VAV-M107-HHW,Serves VAV-M107,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,1.5,0.7,1,2-WAY,VAV-M107,1/2,VAV-M107,"566.4,962.6399999999999,776.88,996.96"
CV-VAV-M108-HHW,Serves VAV-M108,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,0.6,0.3,1,2-WAY,VAV-M108,1/2,VAV-M108,"566.4,996.96,776.88,1031.52"
CV-VAV-M109-HHW,Serves VAV-M109,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,5.1,2.3,1,2-WAY,VAV-M109,1/2,VAV-M109,"566.4,1031.52,776.88,1066.08"
CV-VAV-M110-HHW,Serves VAV-M110,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,0.6,0.3,1,2-WAY,VAV-M110,1/2,VAV-M110,"566.4,1066.08,776.88,1100.6399999999999"
CV-VAV-M111-HHW,Serves VAV-M111,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,1.7,0.8,1,2-WAY,VAV-M111,1/2,VAV-M111,"566.4,1100.6399999999999,776.88,1134.96"
CV-VAV-M112-HHW,Serves VAV-M112,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,2.2,1.0,1,2-WAY,VAV-M112,1/2,VAV-M112,"566.4,1134.96,776.88,1169.52"
CV-VAV-M113-HHW,Serves VAV-M113,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,1.6,0.7,1,2-WAY,VAV-M113,1/2,VAV-M113,"566.4,1169.52,776.88,1204.08"
CV-VAV-M114-HHW,Serves VAV-M114,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,1.8,0.8,1,2-WAY,VAV-M114,1/2,VAV-M114,"566.4,1204.08,776.88,1238.4"
CV-VAV-M115-HHW,Serves VAV-M115,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,0.7,0.3,1,2-WAY,VAV-M115,1/2,VAV-M115,"566.4,1238.4,776.88,1272.96"
CV-VAV-M116-HHW,Serves VAV-M116,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2-WAY,VAV-M116,1/2,VAV-M116,"566.4,1272.96,776.88,1307.52"
CV-VAV-M117-HHW,Serves VAV-M117,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,0.9,0.4,1,2-WAY,VAV-M117,1/2,VAV-M117,"566.4,1307.52,776.88,1341.84"
CV-VAV-M118-HHW,Serves VAV-M118,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,1.3,0.6,1,2-WAY,VAV-M118,1/2,VAV-M118,"566.4,1341.84,776.88,1376.4"
CV-VAV-M119-HHW,Serves VAV-M119,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2-WAY,VAV-M119,1/2,VAV-M119,"566.4,1376.4,776.88,1410.96"
CV-VAV-M120-HHW,Serves VAV-M120,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2-WAY,VAV-M120,1/2,VAV-M120,"566.4,1410.96,776.88,1445.52"
CV-VAV-M121-HHW,Serves VAV-M121,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,0.7,0.3,1,2-WAY,VAV-M121,1/2,VAV-M121,"566.4,1445.52,776.88,1479.84"
CV-VAV-M122-HHW,Serves VAV-M122,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,0.6,0.3,1,2-WAY,VAV-M122,1/2,VAV-M122,"566.4,1479.84,776.88,1514.4"
CV-VAV-M123-HHW,Serves VAV-M123,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,1.5,0.7,1,2-WAY,VAV-M123,1/2,VAV-M123,"566.4,1514.4,776.88,1548.96"
CV-VAV-M124-HHW,Serves VAV-M124,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,1.0,0.4,1,2-WAY,VAV-M124,1/2,VAV-M124,"566.4,1548.96,776.88,1583.28"
CV-VAV-M125-HHW,Serves VAV-M125,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,1.8,0.8,1,2-WAY,VAV-M125,1/2,VAV-M125,"566.4,1583.28,776.88,1617.84"
AHU-T1A-HHW,Serves AHU-T1A,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,6.5,2.9,1,2-WAY,AHU-T1A,1/2,AHU-T1A,"2910.48,1550.16,3095.04,1584.72"
AHU-T1B-HHW,Serves AHU-T1B,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,6.5,2.9,1,2-WAY,AHU-T1B,1/2,AHU-T1B,"2910.48,1584.72,3095.04,1619.28"
CUH-T1-HHW,Serves CUH-T1,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2-WAY,CUH-T1,1/2,CUH-T1,"2910.48,1619.28,3095.04,1653.6"
CUH-T2-HHW,Serves CUH-T2,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2-WAY,CUH-T2,1/2,CUH-T2,"2910.48,1653.6,3095.04,1688.16"
DOAH-T1-HHW,Serves DOAH-T1,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,2.6,1.2,1,2-WAY,DOAH-T1,1/2,DOAH-T1,"2910.48,1722.72,3095.04,1757.28"
FCU-T2-HHW,Serves FCU-T2,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2-WAY,FCU-T2,1/2,FCU-T2,"2910.48,1757.28,3095.04,1791.6"
FCU-T3-HHW,Serves FCU-T3,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2-WAY,FCU-T3,1/2,FCU-T3,"2910.48,1791.6,3095.04,1826.16"
FCU-T4-HHW,Serves FCU-T4,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2-WAY,FCU-T4,1/2,FCU-T4,"2910.48,1826.16,3095.04,1860.72"
FCU-T6-HHW,Serves FCU-T6,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,1.4,0.6,1,2-WAY,FCU-T6,1/2,FCU-T6,"2910.48,1860.72,3095.04,1895.04"
FCU-T7A-HHW,Serves FCU-T7A,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,3.2,1.4,1,2-WAY,FCU-T7A,1/2,FCU-T7A,"2910.48,1895.04,3095.04,1929.6"
FCU-T7B-HHW,Serves FCU-T7B,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,3.2,1.4,1,2-WAY,FCU-T7B,1/2,FCU-T7B,"2910.48,1929.6,3095.04,1964.16"
FCU-T8-HHW,Serves FCU-T8,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,0.6,0.3,1,2-WAY,FCU-T8,1/2,FCU-T8,"2910.48,1964.16,3095.04,1998.48"
FCU-T9-HHW,Serves FCU-T9,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,0.6,0.3,1,2-WAY,FCU-T9,1/2,FCU-T9,"2910.48,1998.48,3095.04,2033.04"
FCU-T10-HHW,Serves FCU-T10,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,0.6,0.3,1,2-WAY,FCU-T10,1/2,FCU-T10,"2910.48,2033.04,3095.04,2067.6"
FCU-T11-HHW,Serves FCU-T11,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,0.6,0.3,1,2-WAY,FCU-T11,1/2,FCU-T11,"2910.48,2067.6,3095.04,2102.16"
FCU-T12-HHW,Serves FCU-T12,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,1.7,0.8,1,2-WAY,FCU-T12,1/2,FCU-T12,"2910.48,2102.16,3095.04,2136.48"
FCU-T13-HHW,Serves FCU-T13,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,0.6,0.3,1,2-WAY,FCU-T13,1/2,FCU-T13,"2910.48,2136.48,3095.04,2171.04"
FCU-T14-HHW,Serves FCU-T14,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2-WAY,FCU-T14,1/2,FCU-T14,"2910.48,2171.04,3095.04,2205.6"
FCU-T15-HHW,Serves FCU-T15,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2-WAY,FCU-T15,1/2,FCU-T15,"2910.48,2205.6,3095.04,2239.92"
FCU-T16-HHW,Serves FCU-T16,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,1.3,0.6,1,2-WAY,FCU-T16,1/2,FCU-T16,"2910.48,2239.92,3095.04,2274.48"
HHW-BP-T,Serves CV-HHW-BP-T,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,8.1,3.6,1,2-WAY,CV-HHW-BP-T,1/2,CV-HHW-BP-T,"2910.48,1688.16,3095.04,1722.72"
HHWC-DOAH-T1HHW,Serves HHWC-DOAH-T1,1,EA,T,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,HHW,1.2,0.5,1,2-WAY,HHWC-DOAH-T1,1/2,HHWC-DOAH-T1,"2910.48,2274.48,3095.04,2338.08"
