sheet,table_title,x0,top,x1,bot,provenance
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#9,INDOOR AREA TEMPERATURE/HUMIDITY SETPOINTS,2876.5,2555.88,3704.0,2891.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#18,1-2-AH13 - POINTS LIST,3044.12,243.25,4647.62,2090.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#19,1-2-AH09 - POINTS LIST,3045.12,231.88,4648.88,1862.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.12pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#20,SHEET LIST - ELECTRICAL - VA SET,5095.62,3345.12,5818.38,3673.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.12pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#28,COPPER WIRE AND CONDUIT SCHEDULE,3788.75,1256.75,4802.12,1942.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#29,PANEL: RC2MH3A EXISTING PANELBOAR...,4209.75,185.88,5865.75,1349.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#29,PANEL: LCP-1 LIGHTING CONTROL SCHEDULE,4755.0,1541.88,5836.12,2100.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#29,LIGHTING CONTROL DEVICES SCHEDULE,4618.38,2172.12,5836.12,2649.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#29,PANEL: 2LC PANELBOARD...,2276.0,2601.75,3932.0,3765.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#29,LIGHTING FIXTURE SCHEDULE,4151.62,2790.62,5836.12,3205.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#29,PANEL SCHEDULE KEY,5187.25,3276.88,5835.25,3708.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#31,PLUMBING FIXTURE SCHEDULE - VA SET,2700.88,1423.88,3601.38,2531.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
042_VA_Renovate_VCS_Patriot_Cafe_VA_project_546_17.pdf#31,SHEET LIST - PLUMBING - VA SET,5028.88,3545.88,5865.88,3696.38,"deterministic ruled-line pixel detection @ threshold 0.5, worst-edge agreement 0.1pt vs vectorgrid's own box"
