sheet,table_title,x0,top,x1,bot,provenance
12_MT_MSU_ReidHall_Renovation.pdf#6,DRAWN BY: ECS,4843.0,2236.5,5135.38,3351.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#8,DRAWN BY: ECS,4843.0,2236.5,5135.38,3351.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#8,CONCRETE FOOTING SCHEDULE,2134.38,2493.0,3141.25,2762.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.17pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#9,CONCRETE REINFORCING BAR DEVELOPMENT & LAP SPLICE LENGTH SCHEDULE,3059.62,233.88,4388.62,647.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#9,STIRRUP (TIES SIMILAR) STIRRUP AND TIE HOOK DIMENSIONS,224.62,2233.88,836.12,2575.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.02pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#9,135° SEISMIC STIRRUP/TIE HOOK DIMENSIONS,845.88,2233.88,1300.12,2575.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#9,DRAWN BY: ECS,4843.0,2236.5,5135.38,3351.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#9,RECOMMENDED END HOOKS (D= FINISHED BEND DIAMETERS),426.88,2628.38,1056.62,3149.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#11,DRAWN BY: ECS,4843.0,2236.5,5135.38,3351.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#13,DRAWN BY: MV,4843.12,2236.38,5135.38,2476.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#22,DRAWN BY: MV,4843.12,2236.38,5135.38,2476.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#25,"SEE 2' - 2"" 2' - 2""",2475.25,1054.12,2763.0,1439.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#25,DRAWN BY: KA,4843.12,2236.38,5135.38,2476.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#26,DRAWN BY: KA,4843.12,2236.38,5135.38,2476.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#27,DRAWN BY: NT,4844.75,2235.25,5137.12,3350.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#27,MECHANICAL SHEET LIST,3430.38,2716.62,4776.62,2905.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#28,SPLIT SYSTEM HEAT PUMP SCHEDULE,256.38,181.12,4599.75,567.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#28,DUAL DUCT VARIABLE AIR VOLUME UNIT SCHEDULE,256.38,681.88,4606.38,1103.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#28,GRILLE - REGISTER - DIFFUSER SCHEDULE,256.38,1229.62,3122.5,1469.62,"deterministic ruled-line pixel detection @ threshold 0.6, worst-edge agreement 0.09pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#28,FINNED PIPE RADIATION SCHEDULE,256.38,1662.88,3132.38,2091.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#28,CABINET UNIT HEATER SCHEDULE,256.38,2180.12,3122.5,2541.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#28,DRAWN BY: NT,4844.75,2235.25,5137.12,3350.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#31,MECHANICAL GENERAL NOTES,3910.62,110.75,4774.12,1286.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#31,DRAWN BY: NT,4844.75,2235.25,5137.12,3350.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#32,MECHANICAL GENERAL NOTES,3910.62,110.75,4774.12,1286.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#32,MECHANICAL KEYNOTES,3910.62,1295.62,4774.12,1813.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.17pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#32,DRAWN BY: NT,4844.75,2235.25,5137.12,3350.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#33,DRAWN BY: Author,4844.75,2235.25,5137.12,3350.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#34,PLUMBING FIXTURE SCHEDULE,279.5,838.38,3329.62,1135.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#34,DRAWN BY: Author,4844.75,2235.25,5137.12,3350.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#34,PLUMBING SHEET LIST,3363.12,2690.5,4771.88,2827.88,"deterministic ruled-line pixel detection @ threshold 0.5, worst-edge agreement 0.12pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#38,FIRE ALARM DEVICES,1971.5,270.62,2792.25,1158.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#38,POWER DEVICES,2830.62,270.62,3651.5,2111.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#38,COMMUNICATION DEVICES,1971.5,1187.38,2792.25,1544.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#38,SECURITY SYSTEM DEVICES,1971.5,1574.25,2792.25,1779.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.79pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#38,LIGHTING DEVICES,2830.62,2141.38,3651.5,2947.88,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#38,"DRAWN BY: DB,JB,ST,OM",4844.75,2235.25,5137.12,3350.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#43,"Panel: (E) L1N1 Location: Volts: 120/208 Wye A.I.C. Rating: 10,000 Supply From: Phases: 3 Mains Type: MCB Mounting: Surface Wires: 4 Bus Rating: 225 A Enclosure: Type 1 Trip Rating: 225 A Notes: EXISTING PANEL LOCATED IN JANITOR CLOSET RM# 130. FIELD VERIFY MAKE AND MODEL OF PANELBOARD BEFORE PURCHASING CIRCUIT BREAKERS.",2967.88,249.62,4694.75,2011.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#43,EQUIPMENT CONNECTION SCHEDULE,1477.62,1671.38,2900.5,1975.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#43,LUMINAIRE SCHEDULE,1969.38,2061.62,4696.0,2758.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box"
12_MT_MSU_ReidHall_Renovation.pdf#43,"DRAWN BY: DB,JB,ST,OM",4844.75,2235.25,5137.12,3350.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box"
