038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#45,Branch Panel: BC131A Location: ENTRANCE ROOM 01 (NEW)... Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: BCL-DC Phases: 3 Mains Type: MCB Mounting: Surface Wires: 4 Mains Rating: 100 A Enclosure: Type 1 MCB Rating: 100 A,187.25,124.75,1051.25,1262.0,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.07pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#45,Branch Panel: BC131B Location: ENTRANCE ROOM 01 (NEW)... Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: (E) BC3 Phases: 3 Mains Type: MCB Mounting: Surface Wires: 4 Mains Rating: 100 A Enclosure: Type 1 MCB Rating: 100 A,1111.0,124.75,1975.0,1262.0,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#45,Branch Panel: (E) BLL1 Location: ELECTRICAL BD125 Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: Phases: 3 Mains Type: MCB Mounting: Surface Wires: 4 Mains Rating: 60 A Enclosure: Type 1 MCB Rating: 60 A,2031.5,124.75,2895.5,666.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#45,Branch Panel: (E) BC13 Location: ELECTICAL... Volts: 120/208 Wye A.I.C. Rating: 22000 Supply From: Phases: 3 Mains Type: MCB Mounting: Surface Wires: 4 Mains Rating: 225 A Enclosure: Type 1 MCB Rating: 225 A,2031.5,720.38,2895.5,1424.0,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#45,Branch Panel: BF107A Location: Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: (E) BC13 Phases: 3 Mains Type: MCB Mounting: Wires: Mains Rating: SURFACE 4 100 A Enclosure: Type 1 MCB Rating: 100 A,187.25,1316.25,1051.25,1857.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.21pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#46,Branch Panel: (E) BC8 Location: ELECTRIC... Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: Phases: 3 Mains Type: MCB Mounting: Surface Wires: 4 Mains Rating: 100 A Enclosure: Type 1 MCB Rating: 100 A,191.75,115.75,1055.75,1319.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.05pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#46,Branch Panel: (E) BCL-1 Location: ELECTRICAL... Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: Phases: 3 Mains Type: MCB Mounting: Surface Wires: 4 Mains Rating: 150 A Enclosure: Type 1 MCB Rating: 150 A,1113.06,115.75,1977.06,1319.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#46,Branch Panel: (E) BCL-2 Location: ELECTRICAL... Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: Phases: 3 Mains Type: MCB Mounting: Surface Wires: 4 Mains Rating: 150 A Enclosure: Type 1 MCB Rating: 150 A,2034.38,115.75,2898.38,1319.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#47,Branch Panel: (E) 1CLDB Location: ELEC 1B135 Volts: 120/208 Wye A.I.C. Rating: 65000 Supply From: Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 400 A Enclosure: Type 1 MCB Rating: 400 A,191.75,106.75,1055.75,607.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.05pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#47,Branch Panel: (E) BCLB Location: ELEC. BB019 Volts: 120/208 Wye A.I.C. Rating: 14000 Supply From: (E) 1CLDB Phases: 3 Mains Type: MCB Mounting: Surface Wires: 4 Mains Rating: 200 A Enclosure: Type 1 MCB Rating: 200 A,1112.94,106.75,1976.94,729.25,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#47,Branch Panel: (E) 1CLB1-A Location: ELEC 1B135 Volts: 120/208 Wye A.I.C. Rating: 14000 Supply From: (E) 1CLDB Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 200 A Enclosure: Type 1 MCB Rating: 200 A,2034.06,106.75,2898.06,1303.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#47,Branch Panel: BB018B Location: TR (EXISTING) BB018 Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: (E) 1CLDB Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 100 A Enclosure: Type 1 MCB Rating: 100 A,191.75,761.75,1055.75,1875.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.12pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#47,Branch Panel: (E) BCLB-2 Location: ELEC. BB019 Supply From: (E) BCLB Mounting: Surface Enclosure: Type 1 Volts: 120/208 Wye Phases: 3 Wires: 4 A.I.C. Rating: 10000 Mains Type: MLO Mains Rating: 225 A,1112.94,761.75,1985.94,1303.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.08pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#47,Branch Panel: BB018A Location: TR (EXISTING) BB018 Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: (E) BCLB-2 Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 100 A Enclosure: Type 1 MCB Rating: 100 A,1112.94,1333.75,1976.94,1875.12,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.12pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#48,Branch Panel: (E) 2CLDA Location: Space 425 Volts: 120/208 Wye A.I.C. Rating: 42000 Supply From: Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 600 A Enclosure: Type 1 MCB Rating: 600 A,192.38,106.5,1056.38,688.5,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#48,Branch Panel: (E) 1CLA1-B Location: ELEC 1A136 Volts: 120/208 Wye A.I.C. Rating: 22000 Supply From: (E) 2CLDA Phases: 3 Mains Type: MCB Mounting: Surface Wires: 4 Mains Rating: 200 A Enclosure: Type 1 MCB Rating: 200 A,1112.75,106.5,1976.75,729.06,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#48,Branch Panel: (E) 1CLD1-A Location: ELEC EQUIP 1D111 Volts: 120/208 Wye A.I.C. Rating: 22000 Supply From: Phases: 3 Mains Type: MCB Mounting: Surface Wires: 4 Mains Rating: 200 A Enclosure: Type 1 MCB Rating: 200 A,2042.0,106.5,2906.0,729.06,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.06pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#48,Branch Panel: 1A137A Location: TR (EXISTING) 1A137 Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: (E) 2CLDA Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 100 A Enclosure: Type 1 MCB Rating: 100 A,192.38,761.12,1056.38,1302.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#48,Branch Panel: 1A137B Location: Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: (E) 1CLA1-B Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 100 A Enclosure: Type 1 MCB Rating: 100 A,1112.75,761.12,1976.75,1875.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#48,Branch Panel: 1D144B Location: TR (NEW) 1D144 Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: (E) 1CLD1-A Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 100 A Enclosure: Type 1 MCB Rating: 100 A,2033.0,761.12,2897.0,1302.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.1pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#48,Branch Panel: (E) 1C6-2 Location: ELEC EQUIP 1D131 Supply From: Mounting: Surface Enclosure: Type 1 Volts: 120/208 Wye Phases: 3 Wires: 4 A.I.C. Rating: 10000 Mains Type: MLO Mains Rating: 100 A,192.38,1334.25,1065.38,1875.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#49,Branch Panel: 1H113A Location: TR (NEW) 1H113 Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: (E) 1C4 Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 100 A Enclosure: Type 1 MCB Rating: 100 A,187.25,120.25,1051.25,661.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#49,Branch Panel: 1H113B Location: TR (NEW) 1H113 Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: (E) 1C4 Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 100 A Enclosure: Type 1 MCB Rating: 100 A,1112.62,120.25,1976.62,661.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#49,Branch Panel: (E) 1C4 Location: NO ROOM... Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: Phases: 3 Mains Type: MCB Mounting: Surface Wires: 4 Mains Rating: 300 A Enclosure: Type 1 MCB Rating: 300 A,2038.0,120.25,2902.0,1406.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#49,Branch Panel: 1W133A Location: TR (NEW) 1W133 Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: (E) 1CL4 Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 100 A Enclosure: Type 1 MCB Rating: 100 A,187.25,783.75,1051.25,1325.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#49,Branch Panel: 1W133B Location: TR (NEW) 1W133 Volts: 120/208 Wye A.I.C. Rating: 10000 Supply From: (E) 1CL4 Phases: 3 Mains Type: MCB Mounting: SURFACE Wires: 4 Mains Rating: 100 A Enclosure: Type 1 MCB Rating: 100 A,1112.62,783.75,1976.62,1325.38,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#50,Branch Panel: (E) 2CLA-A Location: Space 425 Volts: 120/208 Wye A.I.C. Rating: 22000 Supply From: (E) 2CLDA Phases: 3 Mains Type: MCB Mounting: Surface Wires: 4 Mains Rating: 200 A Enclosure: Type 1 MCB Rating: 200 A,191.75,102.25,1055.75,1298.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#50,Branch Panel: (E) 2CLA-B Location: Space 425 Supply From: (E) 2CLA-A Mounting: Surface Enclosure: Type 1 Volts: 120/208 Wye Phases: 3 Wires: 4 A.I.C. Rating: 22000 Mains Type: MLO Mains Rating: 200 A,1112.94,102.25,1985.94,724.75,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
038_NC_VA_Project_637_22_700_EHRM_Infrastructure.pdf#50,Branch Panel: (E) 2CL1 Location: Space 425 Volts: 120/208 Wye A.I.C. Rating: 22000 Supply From: Phases: 3 Mains Type: MCB Mounting: Surface Wires: 4 Mains Rating: 110 A Enclosure: Type 1 MCB Rating: 110 A,2037.88,102.25,2901.88,1379.62,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.11pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
